,Over-Under Odds,Over-Under Scores,Home Team,Away Team,Home Odds,Away Odds,Date,Difference,Team,ABBREVIATION,ID,HomeScheduleID,TotalScore
0,1.91,214.0,BOSTON_CELTICS,TORONTO_RAPTORS,1.8,2.04,2020-09-05,-0.24,BOSTON_CELTICS,BOS,2020-09-05HBOS,2020-09-05HBOS,193.0
1,1.91,222.5,LA_CLIPPERS,DENVER_NUGGETS,1.23,4.57,2020-09-05,-3.34,LA_CLIPPERS,LAC,2020-09-05HLAC,2020-09-05HLAC,211.0
2,1.91,222.5,HOUSTON_ROCKETS,LA_LAKERS,2.56,1.53,2020-09-08,1.03,HOUSTON_ROCKETS,HOU,2020-09-08HHOU,2020-09-08HHOU,214.0
3,1.91,218.5,MILWAUKEE_BUCKS,MIAMI_HEAT,2.75,1.48,2020-09-08,1.27,MILWAUKEE_BUCKS,MIL,2020-09-08HMIL,2020-09-08HMIL,197.0
4,1.91,209.5,BOSTON_CELTICS,TORONTO_RAPTORS,1.65,2.28,2020-09-09,,BOSTON_CELTICS,BOS,2020-09-09HBOS,2020-09-09HBOS,247.0
5,1.91,221.5,DENVER_NUGGETS,LA_CLIPPERS,4.0,1.28,2020-09-09,,DENVER_NUGGETS,DEN,2020-09-09HDEN,2020-09-09HDEN,181.0
2097147,1.91,221.5,DENVER_NUGGETS,LA_CLIPPERS,4,1.28,2020-09-09,,DENVER_NUGGETS,DEN,2020-09-09HDEN,2020-09-09HDEN,181.0
2097157,1.91,218.0,HOUSTON_ROCKETS,LA_LAKERS,2.85,1.45,2020-09-10,,HOUSTON_ROCKETS,HOU,2020-09-10HHOU,2020-09-10HHOU,210.0
2097158,1.91,216.0,LA_CLIPPERS,DENVER_NUGGETS,1.27,3.98,2020-09-11,,LA_CLIPPERS,LAC,2020-09-11HLAC,2020-09-11HLAC,216.0
2097159,1.91,205.0,TORONTO_RAPTORS,BOSTON_CELTICS,2.05,1.8,2020-09-11,,TORONTO_RAPTORS,TOR,2020-09-11HTOR,2020-09-11HTOR,179.0
2097160,1.91,215.5,MIAMI_HEAT,BOSTON_CELTICS,2.3,1.67,2020-09-27,,MIAMI_HEAT,MIA,2020-09-27HMIA,2020-09-27HMIA,238.0
2097161,1.91,216.5,LA_LAKERS,MIAMI_HEAT,1.22,4.73,2020-10-02,,LA_LAKERS,LAL,2020-10-02HLAL,2020-10-02HLAL,238.0
2097162,1.91,218.5,MIAMI_HEAT,LA_LAKERS,4.12,1.2,2020-10-03,,MIAMI_HEAT,MIA,2020-10-03HMIA,,
2097163,1.91,220.0,MIAMI_HEAT,LA_LAKERS,4.38,1.24,2020-10-04,,MIAMI_HEAT,MIA,2020-10-04HMIA,2020-10-04HMIA,219.0
2097164,1.91,218.0,MIAMI_HEAT,LA_LAKERS,3.5,1.32,2020-10-06,,MIAMI_HEAT,MIA,2020-10-06HMIA,2020-10-06HMIA,198.0
2097165,1.91,216.0,LA_LAKERS,MIAMI_HEAT,1.32,3.45,2020-10-08,,LA_LAKERS,LAL,2020-10-08HLAL,,
2097166,1.91,216.0,LA_LAKERS,MIAMI_HEAT,1.32,3.45,2020-10-09,,LA_LAKERS,LAL,2020-10-09HLAL,2020-10-09HLAL,219.0
2097167,1.91,220.0,BROOKLYN_NETS,GOLDEN_STATE_WARRIORS,1.44,2.85,2020-12-09,,BROOKLYN_NETS,BKN,2020-12-09HBKN,,
2097168,1.91,220.0,BROOKLYN_NETS,GOLDEN_STATE_WARRIORS,1.71,2.2,2020-12-09,,BROOKLYN_NETS,BKN,2020-12-09HBKN,,
