,start_time,away_team,home_team,away_team_score,home_team_score,Season Year
0,2019-10-23 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.TORONTO_RAPTORS,122,130,2020
1,2019-10-23 02:30:00+00:00,Team.LOS_ANGELES_LAKERS,Team.LOS_ANGELES_CLIPPERS,102,112,2020
2,2019-10-23 23:00:00+00:00,Team.CHICAGO_BULLS,Team.CHARLOTTE_HORNETS,125,126,2020
3,2019-10-23 23:00:00+00:00,Team.DETROIT_PISTONS,Team.INDIANA_PACERS,119,110,2020
4,2019-10-23 23:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.ORLANDO_MAGIC,85,94,2020
5,2019-10-23 23:30:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.BROOKLYN_NETS,127,126,2020
6,2019-10-23 23:30:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.MIAMI_HEAT,101,120,2020
7,2019-10-23 23:30:00+00:00,Team.BOSTON_CELTICS,Team.PHILADELPHIA_76ERS,93,107,2020
8,2019-10-24 00:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.DALLAS_MAVERICKS,100,108,2020
9,2019-10-24 00:30:00+00:00,Team.NEW_YORK_KNICKS,Team.SAN_ANTONIO_SPURS,111,120,2020
10,2019-10-24 01:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.UTAH_JAZZ,95,100,2020
11,2019-10-24 02:00:00+00:00,Team.SACRAMENTO_KINGS,Team.PHOENIX_SUNS,95,124,2020
12,2019-10-24 02:00:00+00:00,Team.DENVER_NUGGETS,Team.PORTLAND_TRAIL_BLAZERS,108,100,2020
13,2019-10-24 23:00:00+00:00,Team.ATLANTA_HAWKS,Team.DETROIT_PISTONS,117,100,2020
14,2019-10-25 00:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.HOUSTON_ROCKETS,117,111,2020
15,2019-10-25 02:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.GOLDEN_STATE_WARRIORS,141,122,2020
16,2019-10-25 23:00:00+00:00,Team.TORONTO_RAPTORS,Team.BOSTON_CELTICS,106,112,2020
17,2019-10-25 23:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.CHARLOTTE_HORNETS,121,99,2020
18,2019-10-25 23:30:00+00:00,Team.NEW_YORK_KNICKS,Team.BROOKLYN_NETS,109,113,2020
19,2019-10-26 00:00:00+00:00,Team.CHICAGO_BULLS,Team.MEMPHIS_GRIZZLIES,110,102,2020
20,2019-10-26 00:00:00+00:00,Team.DALLAS_MAVERICKS,Team.NEW_ORLEANS_PELICANS,123,116,2020
21,2019-10-26 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.OKLAHOMA_CITY_THUNDER,97,85,2020
22,2019-10-26 01:00:00+00:00,Team.PHOENIX_SUNS,Team.DENVER_NUGGETS,107,108,2020
23,2019-10-26 02:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.SACRAMENTO_KINGS,122,112,2020
24,2019-10-26 02:30:00+00:00,Team.UTAH_JAZZ,Team.LOS_ANGELES_LAKERS,86,95,2020
25,2019-10-26 21:00:00+00:00,Team.MIAMI_HEAT,Team.MILWAUKEE_BUCKS,131,126,2020
26,2019-10-26 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.DETROIT_PISTONS,117,111,2020
27,2019-10-26 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.ATLANTA_HAWKS,99,103,2020
28,2019-10-26 23:30:00+00:00,Team.BOSTON_CELTICS,Team.NEW_YORK_KNICKS,118,95,2020
29,2019-10-27 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.CHICAGO_BULLS,108,84,2020
30,2019-10-27 00:00:00+00:00,Team.INDIANA_PACERS,Team.CLEVELAND_CAVALIERS,99,110,2020
31,2019-10-27 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.HOUSTON_ROCKETS,123,126,2020
32,2019-10-27 00:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.SAN_ANTONIO_SPURS,122,124,2020
33,2019-10-27 01:00:00+00:00,Team.SACRAMENTO_KINGS,Team.UTAH_JAZZ,81,113,2020
34,2019-10-27 02:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.PHOENIX_SUNS,122,130,2020
35,2019-10-27 19:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.OKLAHOMA_CITY_THUNDER,92,120,2020
36,2019-10-27 22:00:00+00:00,Team.BROOKLYN_NETS,Team.MEMPHIS_GRIZZLIES,133,134,2020
37,2019-10-27 23:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.DALLAS_MAVERICKS,121,119,2020
38,2019-10-27 23:00:00+00:00,Team.MIAMI_HEAT,Team.MINNESOTA_TIMBERWOLVES,109,116,2020
39,2019-10-28 01:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.LOS_ANGELES_LAKERS,101,120,2020
40,2019-10-28 23:00:00+00:00,Team.CHICAGO_BULLS,Team.NEW_YORK_KNICKS,98,105,2020
41,2019-10-28 23:00:00+00:00,Team.INDIANA_PACERS,Team.DETROIT_PISTONS,94,96,2020
42,2019-10-28 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.TORONTO_RAPTORS,95,104,2020
43,2019-10-28 23:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.ATLANTA_HAWKS,105,103,2020
44,2019-10-29 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.HOUSTON_ROCKETS,112,116,2020
