,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT,TS_PCT,eFG_PCT
0,BKN2020-12-22,40.0,14.0,24.0,7.0,12.0,0.5833333333333334,5.0,5.0,1.0,12.0,13.0,7.0,5.0,2.0,1.0,0.0,4.0,5.0,1.0,0.5833333333333334,0.7633587786259542,0.7291666666666666
1,GSW2020-12-22,25.0,9.0,28.0,2.0,10.0,0.2,5.0,6.0,4.0,8.0,12.0,5.0,3.0,2.0,0.0,1.0,5.0,4.0,0.8333333333333334,0.3214285714285714,0.4079634464751958,0.3571428571428571
2,LAC2020-12-22,39.0,14.0,20.0,5.0,10.0,0.5,6.0,7.0,2.0,10.0,12.0,9.0,5.0,5.0,0.0,0.0,4.0,6.0,0.8571428571428571,0.7,0.844887348353553,0.825
3,LAL2020-12-22,19.0,7.0,18.0,2.0,8.0,0.25,3.0,6.0,1.0,4.0,5.0,4.0,6.0,2.0,0.0,0.0,6.0,4.0,0.5,0.3888888888888889,0.4602713178294573,0.4444444444444444
4,ATL2020-12-23,42.0,16.0,23.0,3.0,9.0,0.3333333333333333,7.0,9.0,1.0,9.0,10.0,7.0,3.0,2.0,0.0,1.0,5.0,7.0,0.7777777777777778,0.6956521739130435,0.7789317507418397,0.7608695652173914
5,BOS2020-12-23,31.0,11.0,27.0,7.0,15.0,0.4666666666666667,2.0,2.0,3.0,8.0,11.0,9.0,2.0,2.0,0.0,0.0,2.0,3.0,1.0,0.4074074074074074,0.5559540889526543,0.5370370370370371
6,CHA2020-12-23,23.0,10.0,24.0,3.0,11.0,0.2727272727272727,0.0,1.0,3.0,7.0,10.0,9.0,3.0,4.0,2.0,2.0,4.0,4.0,0.0,0.4166666666666667,0.4705400981996726,0.4791666666666667
7,CHI2020-12-23,29.0,10.0,25.0,2.0,11.0,0.1818181818181818,7.0,8.0,4.0,6.0,10.0,5.0,4.0,2.0,1.0,0.0,7.0,5.0,0.875,0.4,0.5084151472650772,0.44
8,CLE2020-12-23,24.0,9.0,22.0,2.0,8.0,0.25,4.0,5.0,4.0,12.0,16.0,8.0,4.0,3.0,2.0,2.0,4.0,4.0,0.8,0.4090909090909091,0.4958677685950413,0.4545454545454545
9,DAL2020-12-23,22.0,7.0,25.0,2.0,11.0,0.1818181818181818,6.0,7.0,2.0,11.0,13.0,4.0,2.0,2.0,0.0,4.0,5.0,10.0,0.8571428571428571,0.28,0.3917378917378917,0.32
10,DEN2020-12-23,31.0,12.0,20.0,3.0,6.0,0.5,4.0,5.0,1.0,11.0,12.0,9.0,5.0,2.0,2.0,2.0,4.0,6.0,0.8,0.6,0.6981981981981982,0.675
11,DET2020-12-23,34.0,14.0,24.0,4.0,6.0,0.6666666666666666,2.0,3.0,1.0,10.0,11.0,9.0,2.0,1.0,0.0,0.0,5.0,6.0,0.6666666666666666,0.5833333333333334,0.6714060031595577,0.6666666666666666
