,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT
0,BKN2020-12-22,26.0,9.0,25.0,3.0,10.0,0.3,5.0,5.0,6.0,9.0,15.0,6.0,3.0,1.0,0.0,0.0,7.0,4.0,1.0,0.36
1,GSW2020-12-22,28.0,10.0,24.0,4.0,8.0,0.5,4.0,8.0,5.0,10.0,15.0,7.0,2.0,0.0,0.0,0.0,4.0,7.0,0.5,0.4166666666666667
2,LAC2020-12-22,27.0,10.0,24.0,3.0,11.0,0.2727272727272727,4.0,5.0,6.0,2.0,8.0,6.0,2.0,1.0,2.0,2.0,6.0,3.0,0.8,0.4166666666666667
3,LAL2020-12-22,31.0,11.0,16.0,2.0,4.0,0.5,7.0,8.0,3.0,7.0,10.0,8.0,5.0,1.0,2.0,2.0,3.0,6.0,0.875,0.6875
4,ATL2020-12-23,13.0,6.0,20.0,1.0,6.0,0.1666666666666666,0.0,1.0,5.0,7.0,12.0,3.0,7.0,1.0,1.0,1.0,8.0,2.0,0.0,0.3
5,BOS2020-12-23,21.0,10.0,25.0,1.0,6.0,0.1666666666666666,0.0,0.0,3.0,5.0,8.0,0.0,2.0,0.0,1.0,2.0,7.0,4.0,,0.4
6,CHA2020-12-23,34.0,13.0,23.0,5.0,13.0,0.3846153846153846,3.0,6.0,2.0,5.0,7.0,6.0,4.0,2.0,0.0,0.0,4.0,8.0,0.5,0.5652173913043478
7,CHI2020-12-23,25.0,9.0,18.0,2.0,6.0,0.3333333333333333,5.0,6.0,1.0,8.0,9.0,5.0,3.0,2.0,1.0,1.0,2.0,8.0,0.8333333333333334,0.5
8,CLE2020-12-23,28.0,10.0,18.0,4.0,7.0,0.5714285714285714,4.0,5.0,2.0,9.0,11.0,6.0,8.0,3.0,0.0,0.0,8.0,4.0,0.8,0.5555555555555556
9,DAL2020-12-23,31.0,13.0,21.0,1.0,8.0,0.125,4.0,5.0,1.0,8.0,9.0,4.0,3.0,1.0,0.0,1.0,6.0,4.0,0.8,0.6190476190476191
10,DEN2020-12-23,28.0,10.0,19.0,0.0,6.0,0.0,8.0,10.0,1.0,8.0,9.0,5.0,4.0,3.0,3.0,0.0,8.0,7.0,0.8,0.5263157894736842
11,DET2020-12-23,16.0,8.0,22.0,0.0,9.0,0.0,0.0,2.0,2.0,11.0,13.0,5.0,4.0,1.0,1.0,2.0,6.0,2.0,0.0,0.3636363636363636
12,IND2020-12-23,33.0,11.0,20.0,3.0,9.0,0.3333333333333333,8.0,10.0,3.0,10.0,13.0,7.0,4.0,1.0,1.0,1.0,9.0,7.0,0.8,0.55
13,MEM2020-12-23,31.0,13.0,24.0,0.0,6.0,0.0,5.0,7.0,0.0,8.0,8.0,9.0,0.0,2.0,1.0,3.0,6.0,7.0,0.7142857142857143,0.5416666666666666
14,MIA2020-12-23,24.0,11.0,24.0,1.0,6.0,0.1666666666666666,1.0,2.0,4.0,8.0,12.0,7.0,6.0,2.0,0.0,1.0,11.0,3.0,0.5,0.4583333333333333
15,MIL2020-12-23,37.0,13.0,23.0,5.0,11.0,0.4545454545454545,6.0,7.0,3.0,10.0,13.0,5.0,1.0,1.0,2.0,1.0,4.0,7.0,0.8571428571428571,0.5652173913043478
16,MIN2020-12-23,31.0,10.0,24.0,4.0,11.0,0.3636363636363636,7.0,7.0,2.0,12.0,14.0,8.0,2.0,3.0,2.0,1.0,2.0,6.0,1.0,0.4166666666666667
17,NOP2020-12-23,25.0,9.0,19.0,4.0,12.0,0.3333333333333333,3.0,4.0,1.0,8.0,9.0,8.0,7.0,5.0,3.0,1.0,5.0,6.0,0.75,0.4736842105263157
18,NYK2020-12-23,25.0,9.0,20.0,1.0,6.0,0.1666666666666666,6.0,10.0,2.0,7.0,9.0,6.0,3.0,1.0,1.0,1.0,7.0,9.0,0.6,0.45
19,ORL2020-12-23,34.0,10.0,19.0,4.0,8.0,0.5,10.0,15.0,4.0,8.0,12.0,8.0,3.0,3.0,1.0,0.0,3.0,11.0,0.6666666666666666,0.5263157894736842
20,PHI2020-12-23,40.0,13.0,22.0,1.0,6.0,0.1666666666666666,13.0,15.0,3.0,8.0,11.0,6.0,0.0,1.0,2.0,1.0,6.0,9.0,0.8666666666666667,0.5909090909090909
21,PHX2020-12-23,29.0,9.0,20.0,2.0,6.0,0.3333333333333333,9.0,11.0,2.0,7.0,9.0,5.0,3.0,3.0,1.0,0.0,4.0,6.0,0.8181818181818182,0.45
