,HTotalScore
0,218.0
2,253.0
3,209.0
4,237.0
6,231.0
7,247.0
8,234.0
9,198.0
11,209.0
12,233.0
13,227.0
14,250.0
15,210.0
16,257.0
17,212.0
18,215.0
19,218.0
20,193.0
21,240.0
22,216.0
23,233.0
24,248.0
25,227.0
26,235.0
27,222.0
28,219.0
29,181.0
30,222.0
31,227.0
32,241.0
33,225.0
34,193.0
35,197.0
36,240.0
37,222.0
38,233.0
39,286.0
40,217.0
41,227.0
42,228.0
43,241.0
44,218.0
45,193.0
46,208.0
47,183.0
48,201.0
49,263.0
50,210.0
51,201.0
52,176.0
53,209.0
54,189.0
55,221.0
56,222.0
57,239.0
58,212.0
60,187.0
61,196.0
62,208.0
63,236.0
64,207.0
65,239.0
66,245.0
67,226.0
68,242.0
69,259.0
70,202.0
71,233.0
73,239.0
74,221.0
75,243.0
76,213.0
77,208.0
78,240.0
79,234.0
80,186.0
81,219.0
82,240.0
83,226.0
84,239.0
85,186.0
86,219.0
87,196.0
89,221.0
90,212.0
91,245.0
92,221.0
93,212.0
94,199.0
95,277.0
96,238.0
97,252.0
98,231.0
99,241.0
100,227.0
101,184.0
102,252.0
103,223.0
104,215.0
106,222.0
107,232.0
108,225.0
109,249.0
110,228.0
111,190.0
112,267.0
113,218.0
114,210.0
115,242.0
116,190.0
117,247.0
118,218.0
119,224.0
120,252.0
121,245.0
122,182.0
123,211.0
124,222.0
125,184.0
126,203.0
127,206.0
128,197.0
129,192.0
130,220.0
131,223.0
132,249.0
133,235.0
134,238.0
135,204.0
136,199.0
137,217.0
138,214.0
139,271.0
140,197.0
141,211.0
142,225.0
143,225.0
144,227.0
145,258.0
146,218.0
147,233.0
148,198.0
149,214.0
150,219.0
151,221.0
152,209.0
153,207.0
154,221.0
155,252.0
157,208.0
158,237.0
159,210.0
160,220.0
161,218.0
162,194.0
163,229.0
164,180.0
165,218.0
166,214.0
167,251.0
168,205.0
169,248.0
170,245.0
171,228.0
172,212.0
173,220.0
174,175.0
175,229.0
176,209.0
177,220.0
178,220.0
179,238.0
180,282.0
181,220.0
182,212.0
183,236.0
184,193.0
185,226.0
186,213.0
187,223.0
188,219.0
189,247.0
190,233.0
191,238.0
192,205.0
193,238.0
194,214.0
195,232.0
196,256.0
197,197.0
198,239.0
199,182.0
200,252.0
201,191.0
202,241.0
203,224.0
204,230.0
205,232.0
206,235.0
207,244.0
208,209.0
209,244.0
210,211.0
211,229.0
212,222.0
213,183.0
214,222.0
215,223.0
216,230.0
217,223.0
218,238.0
