,HomeDaysRest,AwayDaysRest,ConferenceBinary,OpponentConferenceBinary,S2015,S2016,S2017,S2018,S2019,S2020,S2021,S2022,HomeQ3,AwayQ3,Avg_HOFFRATING,Avg_HDEFRATING,Avg_AOFFRATING,Avg_ADEFRATING
0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,86.0,96.0,115.66666666666667,106.56666666666666,123.60000000000001,114.01666666666665
1,2.0,2.0,0,0,0,0,0,0,0,0,1,0,101.0,87.0,114.71666666666668,110.51666666666665,125.01666666666665,115.38333333333333
2,3.0,3.0,0,0,0,0,0,0,0,0,1,0,92.0,94.0,117.48333333333333,113.86666666666666,122.66666666666667,118.13333333333334
3,2.0,2.0,0,0,0,0,0,0,0,0,1,0,76.0,90.0,121.73333333333333,117.55,116.23333333333333,110.21666666666665
4,2.0,2.0,0,0,0,0,0,0,0,0,1,0,83.0,96.0,119.08333333333333,118.8,115.8,105.83333333333333
5,3.0,4.0,0,0,0,0,0,0,0,1,0,0,78.0,83.0,112.85000000000001,115.73333333333335,106.75,109.08333333333333
6,2.0,2.0,0,0,0,0,0,0,0,1,0,0,77.0,104.0,112.36666666666667,116.28333333333332,108.85000000000001,113.45
7,2.0,2.0,0,0,0,0,0,0,0,1,0,0,82.0,86.0,114.69999999999999,118.93333333333332,111.95,114.31666666666666
8,2.0,2.0,0,0,0,0,0,0,0,1,0,0,65.0,60.0,117.55,122.76666666666667,113.39999999999999,117.46666666666665
9,2.0,2.0,0,0,0,0,0,0,0,1,0,0,93.0,75.0,115.01666666666667,116.73333333333333,113.46666666666665,108.68333333333334
10,2.0,2.0,0,0,0,0,0,0,0,1,0,0,84.0,87.0,114.21666666666665,112.78333333333335,116.28333333333332,110.3
11,3.0,3.0,0,0,0,0,0,0,1,0,0,0,68.0,72.0,108.06666666666666,100.91666666666667,111.88333333333333,108.93333333333334
12,3.0,3.0,0,0,0,0,0,0,1,0,0,0,75.0,82.0,106.80000000000001,101.10000000000001,112.3,107.45
13,3.0,3.0,0,0,0,0,0,0,1,0,0,0,85.0,63.0,110.06666666666666,103.14999999999999,110.38333333333334,110.53333333333335
14,2.0,2.0,0,0,0,0,0,0,1,0,0,0,72.0,61.0,114.26666666666667,103.44999999999999,109.10000000000001,110.95
15,2.0,5.0,0,0,0,0,0,0,1,0,0,0,93.0,84.0,110.68333333333334,103.8,109.60000000000001,110.56666666666668
16,2.0,2.0,0,0,0,0,0,0,1,0,0,0,64.0,78.0,109.96666666666665,103.33333333333333,113.58333333333333,114.23333333333333
17,2.0,2.0,0,0,0,0,0,0,1,0,0,0,93.0,65.0,108.73333333333335,103.85000000000001,108.81666666666666,110.05000000000001
18,3.0,3.0,0,0,0,0,0,0,1,0,0,0,72.0,71.0,112.60000000000001,102.41666666666667,106.18333333333334,110.05
19,3.0,2.0,0,0,0,0,0,0,0,0,1,0,79.0,81.0,112.16666666666667,109.26666666666665,111.61666666666667,107.38333333333334
20,2.0,4.0,0,0,0,0,0,0,0,0,1,0,97.0,74.0,112.83333333333331,110.18333333333335,106.10000000000001,104.95
21,2.0,2.0,0,0,0,0,0,0,0,0,1,0,103.0,91.0,111.83333333333333,108.58333333333333,110.89999999999999,109.06666666666666
22,2.0,2.0,0,1,0,0,0,0,0,0,1,0,88.0,93.0,114.91666666666667,109.68333333333334,119.05,113.28333333333335
23,2.0,2.0,0,1,0,0,0,0,0,0,1,0,100.0,66.0,114.65000000000002,112.71666666666668,100.36666666666667,113.21666666666668
24,2.0,2.0,0,0,0,0,0,0,0,0,1,0,70.0,79.0,118.76666666666667,109.41666666666667,108.68333333333334,109.3
25,2.0,2.0,0,0,0,0,0,0,0,0,1,0,103.0,85.0,117.86666666666667,109.41666666666667,107.36666666666667,105.23333333333335
26,2.0,1.0,0,0,0,0,0,0,0,0,1,0,78.0,78.0,119.58333333333336,107.56666666666666,117.98333333333333,119.55
27,2.0,2.0,0,1,0,0,0,0,0,0,1,0,88.0,88.0,120.85000000000001,110.58333333333333,103.51666666666667,108.66666666666667
28,1.0,2.0,0,0,0,0,0,0,0,0,1,0,73.0,93.0,117.63333333333333,109.33333333333336,114.95,115.71666666666668
29,2.0,2.0,0,1,0,0,0,0,0,0,1,0,87.0,91.0,117.25,109.31666666666666,108.75,111.53333333333335
30,2.0,2.0,0,1,0,0,0,0,0,0,1,0,95.0,67.0,116.08333333333333,112.28333333333332,115.88333333333334,116.74999999999999
31,2.0,2.0,0,1,0,0,0,0,0,0,1,0,81.0,89.0,119.93333333333334,112.61666666666666,116.58333333333331,108.2
